temperature,rainfall,humidity
-6.1,35.5,58
16.5,93.0,49
24.8,109.8,98
7.7,18.3,37
30.7,119.7,77
2.2,103.4,89
32.5,141.4,40
-8.9,4.0,49
26.8,112.6,60
25.0,146.5,96
19.6,169.7,34
37.2,158.4,88
3.7,52.5,39
16.4,55.6,32
14.0,167.7,82
27.9,127.9,71
28.4,70.6,100
19.1,89.7,82
23.7,30.1,26
3.8,198.0,97
-0.5,27.7,35
-8.8,182.6,59
21.9,81.9,69
-0.3,136.8,94
39.6,36.6,36
11.3,45.3,42
17.3,57.1,41
18.3,18.9,20
18.5,189.1,64
-4.2,1.1,46
-5.4,7.1,95
35.2,75.3,96
12.5,32.1,72
36.0,168.3,25
8.6,140.2,75
24.2,52.5,80
26.3,177.9,74
12.8,37.8,20
9.3,199.8,24
-5.4,164.3,42
31.1,75.5,69
14.6,127.0,24
0.6,40.7,35
0.6,140.3,27
29.5,108.0,92
7.0,178.8,68
-2.6,150.3,62
16.2,140.6,90
-3.5,20.8,39
15.1,163.8,76
31.1,43.9,84
12.5,169.3,67
4.7,173.9,37
26.5,10.1,79
18.9,103.5,97
-1.6,17.8,33
-6.7,113.7,70
6.0,171.6,32
-9.9,107.6,36
12.1,131.5,29
23.7,26.0,97
37.7,47.2,86
36.5,105.2,23
24.0,193.5,53
26.5,58.1,40
23.9,125.0,69
20.6,124.6,85
-5.6,91.2,52
14.2,191.1,96
34.7,74.5,78
38.0,35.7,98
-5.5,170.6,91
15.2,16.1,40
31.0,32.7,62
30.1,156.5,74
6.3,78.3,54
24.4,39.8,44
2.5,48.5,90
21.7,132.5,47
12.6,138.4,68
-9.7,7.5,95
0.6,54.9,49
12.1,152.1,79
10.7,24.8,68
-0.7,105.6,38
31.5,42.0,81
21.1,43.8,33
19.5,131.2,78
-5.1,15.5,39
35.8,139.4,46
-7.8,38.9,77
30.2,28.3,76
-4.7,48.4,56
-0.7,106.6,87
20.1,40.5,81
3.7,64.2,89
11.9,53.7,63
7.8,87.6,48
11.6,33.5,45
30.4,61.1,89
16.4,91.7,39
30.1,6.4,30
10.7,176.7,70
27.1,69.6,78
3.0,65.8,64
3.3,108.9,20
6.6,105.6,86
15.6,48.3,91
39.2,56.5,52
26.8,57.7,28
-1.5,86.9,51
26.6,142.8,92
32.1,11.2,62
8.2,80.3,88
24.6,179.2,60
5.6,117.5,75
25.0,54.2,72
-1.7,67.5,88
11.9,76.1,26
26.8,3.1,28
21.3,41.9,81
4.6,187.5,32
14.9,17.8,67
33.5,28.7,46
6.0,134.4,38
20.6,96.6,62
17.1,134.5,47
4.8,187.1,91
6.5,123.5,90
36.0,70.8,99
30.0,93.9,87
1.5,184.0,42
22.5,58.2,68
23.1,61.7,55
39.4,143.5,93
1.5,119.5,27
-1.6,74.0,36
5.6,24.0,74
37.4,90.9,67
1.3,83.9,77
19.7,115.0,56
6.4,169.2,94
10.4,71.9,59
37.4,152.8,37
17.6,136.5,90
6.7,50.1,31
-1.0,176.3,94
39.5,144.7,36
29.1,119.0,56
20.4,178.0,40
17.0,43.5,83
34.2,175.9,46
7.9,143.2,81
12.4,80.4,41
-7.7,118.6,82
3.9,6.2,81
31.2,192.6,87
1.2,31.0,67
15.1,17.7,65
32.4,1.8,99
8.3,68.1,41
36.3,143.8,87
-9.2,39.0,67
21.2,113.7,70
21.5,15.6,38
30.7,185.8,83
30.1,126.9,50
19.2,20.7,47
20.3,110.9,77
-4.6,109.1,98
33.3,60.8,73
33.0,122.1,86
2.9,158.5,33
17.3,106.1,99
38.9,145.1,80
12.6,3.7,67
28.0,161.5,28
17.0,122.2,34
17.1,15.3,23
32.0,192.5,55
26.5,97.6,69
5.2,161.4,62
-9.0,199.1,59
34.9,126.9,84
24.3,144.8,25
4.9,88.7,78
32.7,135.0,91
22.2,93.4,64
-8.7,68.3,34
-9.7,49.2,90
2.7,140.4,64
8.6,146.1,30
25.5,109.2,70
36.6,118.7,65
34.1,24.7,46
12.3,55.4,28
11.7,174.8,52
-9.6,130.8,67
-2.8,161.3,48
-7.6,92.3,79
-7.7,197.0,69
-2.3,40.6,92
26.3,129.4,22
32.9,95.9,61
-0.2,61.7,63
1.6,17.9,49
27.5,166.5,81
36.2,9.1,76
-6.4,29.4,34
-7.2,116.1,53
6.3,22.8,72
-5.1,188.8,49
31.6,22.3,82
38.8,71.3,64
35.6,82.0,92
-2.2,100.1,76
-3.3,185.6,80
19.3,39.8,71
38.9,57.5,74
1.0,81.8,31
14.4,146.9,30
-9.7,195.7,79
15.6,82.6,78
38.0,25.9,50
36.6,177.6,28
38.7,197.1,81
21.5,50.2,97
10.7,14.6,56
36.0,8.7,63
-6.3,128.8,91
6.2,57.1,28
6.5,182.8,43
-1.7,65.0,99
9.2,119.9,87
21.5,0.8,93
25.5,96.3,95
24.6,118.2,30
1.9,112.5,44
27.2,102.0,98
14.2,71.7,80
1.4,187.4,56
-9.3,157.6,99
4.0,196.6,36
7.7,181.9,49
26.7,181.0,42
15.7,123.4,24
4.2,28.7,59
23.4,57.6,53
-5.5,14.4,57
17.8,96.4,88
18.7,141.6,88
-9.1,16.4,59
12.8,141.0,46
23.6,87.4,67
21.7,130.9,24
0.1,55.0,81
32.7,91.2,80
-7.2,179.4,53
36.6,137.0,63
6.0,50.3,86
17.0,72.9,92
6.5,161.7,50
24.2,71.6,29
3.8,18.5,39
1.6,162.8,68
11.5,61.0,72
4.2,56.0,41
-9.5,120.3,93
29.3,144.8,47
-0.5,100.2,98
3.0,4.1,72
-3.8,49.7,80
1.7,46.9,69
30.7,83.8,64
29.8,153.7,30
36.2,173.7,67
17.4,5.8,61
33.0,102.2,45
17.6,174.7,24
25.1,31.7,91
37.9,3.9,62
11.1,165.3,44
40.0,30.4,77
-4.0,78.0,78
6.1,151.6,98
28.4,169.8,30
23.6,87.7,64
-1.7,70.6,71
5.0,163.6,85
-2.0,20.0,28
24.2,38.9,69
9.5,62.5,20
21.5,167.4,75
5.2,60.7,57
25.8,158.6,70
-9.6,141.7,92
2.1,90.7,96
17.1,121.8,64
39.9,131.4,79
13.8,169.9,52
16.6,67.6,84
16.5,189.1,66
15.7,65.4,82
30.6,132.9,48
38.5,194.4,52
23.0,22.1,69
20.4,142.6,52
14.5,92.3,95
2.2,101.5,20
29.1,127.8,96
35.5,103.9,72
16.5,87.1,62
20.9,125.5,69
29.0,83.5,54
-6.8,18.1,63
25.5,146.3,46
-0.4,180.9,93
16.4,189.7,59
26.8,82.3,46
0.1,86.8,92
33.1,63.1,35
-5.2,194.2,76
1.7,17.9,99
15.7,62.6,82
-5.1,19.5,96
0.6,77.5,85
17.0,147.6,72
17.5,164.2,24
21.2,154.1,64
18.5,95.0,21
36.1,137.6,64
29.4,40.9,37
24.0,108.1,86
4.7,172.3,75
29.2,36.0,70
23.0,124.4,99
25.5,179.6,59
8.3,74.5,86
16.9,20.4,28
29.1,126.7,38
2.2,0.7,71
-7.3,116.0,77
27.6,108.4,24
16.7,36.3,80
7.0,161.9,81
-7.8,64.0,39
9.9,15.6,49
18.0,36.8,66
-6.0,68.8,91
32.5,41.9,47
32.2,180.2,89
35.4,64.0,24
13.9,22.9,62
23.9,69.0,45
39.1,88.4,53
38.5,92.7,83
37.4,33.2,23
31.9,19.2,95
-4.9,178.4,93
15.3,193.2,88
11.1,32.4,28
24.3,107.6,65
4.8,65.5,36
25.8,149.6,44
17.8,150.0,69
-0.9,95.5,71
23.0,105.4,82
5.1,17.9,56
-9.0,171.5,59
-4.2,8.0,34
32.5,46.2,70
10.7,41.9,34
19.1,162.0,47
-0.2,125.6,24
35.7,7.7,42
-5.4,56.5,80
21.6,28.0,74
26.7,107.7,97
21.6,192.8,23
-7.3,26.9,25
0.6,35.7,68
25.3,187.0,50
-7.0,20.0,54
12.9,141.5,70
33.8,140.4,99
10.4,115.5,100
11.6,70.3,98
-4.8,2.3,32
1.3,189.0,67
21.9,173.0,66
33.3,48.1,44
8.3,118.5,100
24.9,158.6,55
-8.9,122.0,53
12.9,181.6,35
-0.9,78.3,77
34.5,99.6,35
39.0,77.9,93
34.2,173.0,75
4.2,80.2,56
0.4,147.2,59
20.1,60.6,67
24.6,152.9,69
39.9,178.9,61
36.0,48.8,77
11.2,148.6,45
-2.4,137.6,36
25.5,15.8,49
-7.7,16.7,60
28.9,134.6,99
37.2,33.2,43
33.8,46.0,52
32.4,103.7,76
22.7,196.9,56
27.4,190.0,82
35.6,81.9,90
30.9,73.8,32
22.4,141.7,68
36.2,12.2,75
36.3,62.5,100
6.2,55.2,44
31.7,44.9,44
23.2,172.8,25
37.4,105.7,97
-0.6,87.7,96
-9.3,66.6,68
35.8,174.3,54
15.3,65.6,20
26.1,114.9,78
8.7,101.1,90
23.2,93.2,63
37.0,181.2,97
5.5,68.6,96
13.9,32.7,38
14.0,59.2,59
35.4,177.0,26
39.0,86.8,38
38.9,144.2,43
31.3,182.0,77
-9.7,33.8,56
-2.3,76.6,41
21.7,185.0,72
-8.0,121.3,86
-7.9,45.9,45
36.3,88.8,51
30.4,157.4,89
0.1,64.3,77
32.0,163.5,44
19.0,77.5,98
34.9,120.3,24
1.0,161.3,52
3.6,77.4,79
27.1,43.8,54
36.0,18.7,83
34.1,189.9,93
28.6,93.3,73
20.8,161.7,21
39.7,182.8,94
3.4,21.5,57
-7.7,147.6,25
27.0,66.0,25
27.6,161.4,20
38.7,145.4,28
31.8,154.5,27
37.8,141.1,30
-7.3,196.2,87
39.6,92.2,21
-4.5,121.5,98
39.9,186.2,82
17.0,134.4,57
-6.8,137.7,59
39.2,84.7,95
-6.6,180.6,96
34.7,81.0,48
-8.4,6.5,59
17.9,54.8,54
16.5,185.6,100
31.4,19.1,62
9.2,36.8,35
10.9,181.0,22
38.6,111.2,61
29.7,28.4,54
23.8,112.2,32
36.7,184.3,44
34.4,136.1,94
21.8,77.4,29
-2.1,174.1,73
16.1,99.3,76
-5.1,75.5,100
7.5,113.5,65
36.1,134.2,100
27.4,163.1,20
25.7,77.4,99
-7.0,164.1,80
3.7,191.8,49
28.2,42.1,44
10.9,106.0,66
-4.7,181.7,51
0.6,112.7,85
22.9,160.3,55
11.2,152.2,79
14.1,63.2,69
-7.8,84.9,29
4.9,125.0,45
-9.0,15.0,27
14.0,89.5,80
26.4,199.8,44
-3.4,101.4,53
13.3,131.3,71
-8.8,177.9,83
-1.9,192.2,43
17.5,17.1,51
7.2,71.5,32
40.0,172.0,85
-9.4,39.5,23
16.8,114.8,61
15.4,126.4,67
16.2,79.6,67
23.0,128.4,54
9.9,190.3,28
31.2,166.9,46
0.6,111.5,36
15.9,115.1,98
33.6,20.0,35
1.9,80.0,57
14.0,108.7,43
32.5,77.7,88
36.8,141.2,66
29.2,4.9,20
39.0,25.8,51
5.9,50.5,87
6.4,178.4,92
29.9,65.6,77
-5.0,1.9,20
27.4,125.3,47
4.5,59.0,86
24.6,80.6,36
23.7,111.8,30
3.4,119.7,36
0.6,158.7,81
13.5,144.1,22
-1.9,148.7,47
0.8,144.2,77
31.1,198.4,36
-1.6,105.7,91
20.9,25.2,48
28.4,85.6,23
14.2,46.5,73
2.8,151.8,41
-6.8,161.4,50
22.9,152.6,59
15.3,117.5,23
30.3,29.1,89
7.3,117.7,91
6.5,85.7,91
26.8,26.8,60
16.7,57.7,92
28.1,183.7,87
3.6,164.7,63
10.7,182.2,21
24.1,39.8,90
2.3,170.1,48
-2.8,43.0,50
-7.2,167.8,21
36.9,87.1,22
18.0,56.5,39
33.8,164.0,85
30.8,174.3,61
18.2,69.2,64
28.7,146.6,33
9.2,100.2,88
28.6,125.2,63
-8.6,51.4,45
6.8,124.6,92
22.2,91.1,39
32.7,177.0,92
36.0,168.2,36
35.9,143.0,66
12.2,95.8,88
29.0,26.9,51
8.6,54.5,53
28.6,151.8,99
23.0,187.3,69
13.6,74.4,89
38.6,83.6,71
38.8,176.0,95
29.0,125.7,34
-1.1,112.1,46
-1.6,58.2,46
9.0,186.1,36
11.5,132.3,46
11.0,45.3,42
0.4,150.4,66
9.6,17.7,95
9.0,91.5,73
1.4,4.4,59
23.2,173.3,31
34.1,16.5,56
29.7,158.0,79
-5.8,184.1,62
-8.5,92.7,67
37.0,29.2,90
26.8,143.7,70
15.6,73.9,37
33.1,46.0,88
22.3,29.5,34
29.4,71.4,88
16.6,10.8,48
7.4,53.5,70
33.2,159.3,37
12.5,173.6,74
-2.7,57.6,29
39.4,8.9,93
-1.7,163.8,39
-5.2,184.3,98
20.8,116.2,26
13.9,58.5,63
23.9,111.5,78
-9.3,71.8,28
1.6,195.5,38
-6.6,146.9,97
23.8,138.7,95
9.2,14.4,42
21.7,43.0,60
-2.6,53.4,75
14.2,14.7,100
-0.2,198.6,74
8.2,83.1,83
2.6,107.3,25
10.7,115.1,53
24.5,166.8,28
11.3,112.1,78
17.0,76.2,78
30.1,175.6,27
-1.8,151.4,60
14.8,141.1,53
31.1,39.9,60
14.8,137.7,48
9.3,33.8,22
27.6,187.9,72
6.1,159.3,93
32.4,104.8,99
28.9,21.7,23
22.2,152.0,28
28.5,156.3,30
39.4,31.4,25
-3.2,186.0,68
-0.4,13.9,46
26.2,84.6,37
25.2,153.6,24
18.7,122.6,41
34.4,20.1,72
35.1,7.5,93
20.4,3.9,81
13.6,62.9,55
36.3,103.9,86
8.5,150.6,47
30.8,190.9,64
13.0,66.7,21
24.4,138.8,26
16.3,43.1,94
17.8,184.2,76
34.5,39.6,50
24.5,75.7,47
-5.3,77.4,31
38.0,45.5,33
15.9,131.4,94
15.2,182.0,93
2.4,84.5,77
17.2,43.2,62
-5.8,24.5,100
31.9,135.9,73
30.7,167.1,33
30.7,21.1,49
-1.2,49.1,82
-0.9,161.8,56
-8.9,66.0,77
27.6,3.7,43
30.4,149.3,26
28.8,30.7,92
38.4,197.1,68
32.9,92.6,20
30.0,16.1,32
29.0,92.9,96
18.7,69.4,59
6.8,72.2,33
23.2,107.8,38
16.8,108.7,88
9.4,195.8,33
10.4,39.6,68
35.7,37.5,78
-5.2,149.0,73
24.7,131.6,72
8.9,143.6,98
-2.6,0.5,51
-2.8,10.2,41
-6.9,87.9,51
2.1,160.1,59
39.4,44.2,83
19.6,196.1,79
29.9,170.5,26
-1.9,36.8,39
-1.6,10.9,66
18.3,25.3,59
30.9,86.2,63
-1.3,44.5,83
-3.2,69.9,100
-6.1,63.4,43
-1.5,139.5,53
13.0,32.3,41
15.2,100.8,25
-4.0,139.2,65
9.2,33.5,99
5.9,81.8,29
11.5,151.5,72
29.0,121.9,27
26.7,58.6,99
4.4,98.7,44
25.0,5.8,33
27.1,115.3,91
34.8,123.8,53
32.2,126.6,53
-1.4,7.2,100
5.3,69.1,62
7.3,103.3,56
19.1,142.2,35
31.2,117.6,26
17.7,178.2,29
20.3,51.5,78
15.2,18.4,22
19.1,176.8,20
11.0,178.1,66
-1.0,176.6,56
-8.2,128.0,42
19.7,153.7,74
31.5,143.7,45
19.0,59.8,53
-9.1,33.2,63
36.8,60.5,89
15.0,8.8,73
14.8,30.5,36
30.3,91.6,35
-2.0,56.7,35
17.5,93.3,44
34.3,30.4,70
30.1,196.8,98
9.6,181.1,64
9.4,173.2,52
7.9,63.6,56
9.8,188.6,92
8.9,71.7,34
17.4,171.8,33
-0.5,30.5,79
15.2,138.8,49
24.8,58.0,30
3.8,108.4,46
16.2,55.0,31
-8.7,32.8,80
23.4,78.1,35
20.5,120.0,20
25.5,5.9,96
36.3,178.6,50
25.1,108.4,85
27.8,171.1,21
-6.1,126.8,71
38.4,17.9,61
23.7,170.5,64
28.9,37.3,21
2.5,42.2,29
33.2,138.2,97
-6.3,85.9,87
-2.9,44.6,65
-3.6,52.3,27
13.7,79.2,60
4.1,107.1,90
18.8,88.2,38
3.9,111.4,90
35.8,138.1,86
17.4,170.4,39
2.2,93.8,65
6.6,126.2,89
14.7,100.8,77
3.9,150.2,27
33.9,115.1,21
7.7,196.0,41
3.2,146.6,98
27.5,144.7,49
21.1,126.6,35
24.0,139.5,80
-3.2,171.5,42
21.6,11.7,71
29.9,189.0,90
28.2,39.3,71
14.8,14.7,54
1.2,25.9,80
18.9,142.8,62
15.5,190.0,84
4.9,106.6,44
-4.9,197.1,42
9.1,20.1,95
28.1,4.9,27
1.0,13.7,92
30.3,38.1,79
6.0,60.3,66
29.0,25.5,20
38.0,116.2,37
11.6,150.8,72
5.2,117.4,51
39.1,6.8,30
23.3,143.1,43
7.6,147.6,84
11.7,58.4,54
31.9,1.8,65
28.8,101.0,99
4.9,154.3,94
24.7,191.1,68
21.4,38.5,40
-3.4,2.5,57
13.5,12.8,28
23.0,19.2,70
39.9,6.5,30
32.0,186.2,91
36.3,31.0,95
26.7,19.6,74
6.9,54.2,75
6.1,67.1,62
-6.7,13.8,28
35.2,175.7,69
6.1,71.2,88
16.7,189.5,27
0.8,48.8,88
19.6,33.5,80
29.4,142.4,35
5.6,52.0,27
36.1,14.5,21
34.3,16.7,58
39.5,110.2,86
0.9,174.4,71
16.4,8.4,41
2.5,65.8,88
10.3,157.6,84
33.8,153.6,70
25.8,187.0,73
14.2,172.9,51
34.6,190.0,70
23.3,29.3,73
13.2,71.2,20
5.4,99.8,39
-7.6,168.1,74
2.2,150.3,47
0.2,27.9,100
23.3,134.8,73
2.3,64.5,48
22.5,80.3,56
23.8,142.0,95
34.7,152.2,61
-4.1,102.5,72
-9.0,175.2,77
20.9,141.7,34
-5.3,172.9,71
0.2,106.9,97
25.3,153.3,75
15.4,10.4,20
35.0,74.2,93
-1.7,188.7,47
20.8,195.4,31
1.8,8.7,42
18.0,128.9,84
15.8,69.4,53
-0.2,139.9,62
11.9,146.8,89
34.5,127.5,72
30.2,81.4,60
20.7,180.1,25
-9.6,71.8,74
10.4,52.2,52
39.6,49.8,64
34.8,5.4,45
11.3,139.9,37
2.8,167.9,31
15.2,66.7,61
7.5,36.5,80
32.9,196.1,75
25.5,18.1,24
9.9,87.7,39
10.6,89.4,71
-9.6,34.6,65
5.1,179.4,62
