Day,Temperature (°C),Rainfall (mm),Humidity (%)
1,4.3,27.4,41
2,14.9,4.6,46
3,11.4,4.7,60
4,-3.8,19.3,91
5,10.4,20.5,55
6,34.2,24.9,29
7,11.8,25.2,52
8,23.3,34.1,100
9,18.1,10.7,48
10,17.5,0.1,46
11,9.1,14.1,40
12,22.8,3.5,40
13,14.4,38.2,27
14,19.8,10.1,20
15,29.8,43.0,28
16,32.9,41.5,62
17,19.1,18.4,25
18,22.8,18.8,73
19,33.8,0.4,85
20,20.2,21.5,97
21,5.9,8.7,41
22,14.9,45.8,85
23,28.4,39.5,44
24,19.7,42.0,63
25,3.8,22.1,89
26,16.2,48.0,28
27,-4.9,42.7,79
28,4.1,44.3,22
29,33.8,31.1,54
30,23.5,20.6,98
31,25.8,0.2,99
32,13.3,19.8,23
33,-4.9,18.3,97
34,28.1,36.1,78
35,10.2,12.9,35
36,26.4,14.9,47
37,30.1,34.5,26
38,33.1,0.2,98
39,32.2,5.6,31
40,18.5,15.0,59
41,29.1,1.8,93
42,-4.1,24.7,65
43,33.4,32.7,100
44,7.7,12.5,32
45,32.8,10.0,26
46,21.5,19.5,66
47,33.6,24.4,51
48,33.3,42.8,91
49,-4.8,19.7,63
50,16.6,0.1,93
51,15.6,33.1,44
52,27.8,33.3,87
53,-4.8,37.0,94
54,17.2,3.3,49
55,14.4,8.6,36
56,12.1,18.2,77
57,27.2,33.3,45
58,16.6,38.5,49
59,34.4,11.0,71
60,27.7,49.5,84
61,22.8,29.6,86
62,2.7,13.6,28
63,10.9,47.8,57
64,26.4,46.9,37
65,30.2,5.3,50
66,7.7,40.2,97
67,25.0,0.1,62
68,12.8,40.6,72
69,27.1,8.3,76
70,6.5,24.3,33
71,0.6,10.3,66
72,10.3,0.5,94
73,11.0,10.8,66
74,19.6,43.0,88
75,15.7,43.4,74
76,31.7,17.6,68
77,24.0,6.0,30
78,26.1,48.4,77
79,16.5,15.5,57
80,29.6,37.2,36
81,-1.4,22.4,33
82,15.3,49.8,56
83,20.2,33.1,59
84,3.6,9.2,68
85,22.7,39.7,74
86,13.6,37.6,33
87,3.4,39.7,71
88,8.7,39.4,96
89,34.6,30.4,46
90,33.8,10.1,85
91,26.7,31.2,53
92,9.4,14.7,100
93,26.1,5.7,67
94,15.2,49.7,34
95,4.4,36.8,23
96,2.1,47.2,80
97,-1.9,39.2,96
98,2.7,22.2,70
99,-1.6,27.8,78
100,-1.5,28.8,75
101,10.2,37.5,25
102,1.2,35.9,94
103,30.5,40.7,23
104,0.2,1.3,44
105,-3.2,39.0,58
106,23.4,17.2,51
107,26.3,26.8,81
108,24.3,29.8,37
109,8.4,11.3,42
110,10.8,37.4,30
111,21.8,30.8,92
112,9.9,4.8,64
113,-1.8,30.8,28
114,34.8,4.7,63
115,6.2,48.1,78
116,7.1,28.0,26
117,27.9,15.1,30
118,25.3,23.6,73
119,-2.8,22.5,24
120,3.7,7.0,89
121,28.3,15.7,40
122,19.6,8.5,88
123,4.7,31.1,29
124,9.2,33.4,86
125,34.3,18.8,28
126,25.5,10.7,76
127,34.8,11.7,25
128,22.9,9.4,63
129,19.6,31.9,67
130,34.2,21.0,62
131,18.7,17.3,65
132,6.7,17.2,92
133,16.2,22.6,28
134,34.2,40.5,88
135,23.4,0.5,22
136,16.9,4.9,68
137,6.2,23.0,61
138,24.6,3.9,95
139,17.2,44.2,56
140,23.0,47.0,25
141,9.2,36.1,71
142,7.5,24.0,94
143,-1.3,12.0,53
144,-2.8,31.4,99
145,18.5,22.2,94
146,6.3,13.5,72
147,32.8,8.9,26
148,32.4,18.8,96
149,2.4,2.3,58
150,14.6,30.6,92
151,21.6,39.1,100
152,3.8,4.4,44
153,5.5,3.3,82
154,15.0,31.7,98
155,5.8,23.3,51
156,20.3,42.7,96
157,11.7,41.4,93
158,32.8,17.0,31
159,-3.5,17.8,93
160,-4.1,49.2,91
161,4.1,15.0,51
162,17.2,40.9,74
163,33.0,8.8,51
164,17.9,7.8,36
165,22.0,44.2,51
166,-5.0,27.0,99
167,30.9,32.7,80
168,24.3,27.5,99
169,32.5,36.0,20
170,8.7,26.1,45
171,-3.4,13.2,40
172,24.2,27.7,33
173,26.8,25.2,54
174,7.2,29.2,96
175,3.5,22.5,95
176,22.7,25.4,35
177,23.5,12.6,45
178,30.8,46.0,41
179,23.2,22.7,35
180,24.8,30.4,81
181,25.4,27.9,45
182,27.9,24.0,42
183,14.3,2.0,39
184,8.1,14.1,62
185,8.6,0.3,40
186,19.9,20.0,73
187,33.2,16.1,95
188,34.3,17.4,60
189,-1.8,7.6,23
190,28.3,48.2,34
191,30.4,41.9,26
192,33.0,44.8,25
193,-0.4,14.1,53
194,15.0,14.5,75
195,30.6,26.5,33
196,30.4,12.2,42
197,24.5,13.7,41
198,4.0,20.0,76
199,-0.6,20.7,83
200,24.2,20.4,69
201,5.2,29.3,72
202,15.4,37.1,21
203,18.7,35.8,90
204,-4.2,46.3,39
205,2.0,42.9,88
206,2.8,9.6,71
207,16.7,3.7,51
208,17.3,23.0,70
209,0.7,44.7,97
210,15.0,21.1,79
211,21.9,9.4,44
212,3.4,38.5,55
213,7.3,13.1,26
214,19.0,48.8,76
215,12.1,31.3,68
216,9.0,17.0,39
217,19.6,25.9,31
218,-0.4,0.1,69
219,-4.4,41.6,38
220,28.0,29.0,92
221,24.8,46.5,73
222,31.8,22.0,100
223,-1.5,20.3,24
224,31.9,9.3,41
225,15.2,3.4,40
226,14.2,32.4,51
227,13.9,18.4,48
228,18.7,32.8,32
229,15.4,42.2,60
230,12.4,32.8,82
231,5.7,21.0,24
232,4.2,43.8,80
233,26.5,13.7,44
234,31.2,0.5,98
235,31.0,16.0,45
236,1.7,42.7,80
237,34.5,0.4,93
238,1.6,7.0,98
239,2.4,14.3,84
240,-4.0,6.5,42
241,31.3,5.7,97
242,15.1,13.2,93
243,27.3,40.2,33
244,-4.2,0.5,94
245,14.6,23.7,88
246,10.7,39.3,83
247,3.8,13.5,34
248,20.8,47.8,69
249,10.3,30.4,37
250,16.9,43.4,28
251,27.5,36.2,22
252,0.6,10.2,86
253,8.7,0.8,60
254,19.0,26.5,26
255,2.2,26.4,58
256,-0.1,42.6,41
257,34.9,15.0,76
258,18.2,9.4,39
259,16.0,35.4,89
260,17.3,42.0,58
261,14.5,18.5,22
262,8.4,26.4,68
263,11.5,19.1,84
264,32.2,30.9,71
265,2.3,32.3,36
266,14.7,23.6,84
267,4.8,39.7,46
268,17.7,42.9,46
269,13.6,35.0,43
270,14.0,6.6,42
271,28.1,33.4,86
272,28.0,34.2,94
273,14.4,36.9,45
274,33.6,40.0,21
275,17.0,4.6,71
276,-4.0,23.3,80
277,23.4,12.2,69
278,28.0,26.6,35
279,-0.2,4.7,22
280,21.4,8.6,92
281,26.1,43.0,49
282,34.5,5.0,96
283,32.6,16.8,64
284,24.6,43.0,45
285,3.1,7.8,91
286,31.7,38.9,67
287,11.0,1.5,52
288,15.2,46.5,29
289,0.7,44.7,94
290,3.5,15.2,46
291,5.1,40.0,50
292,21.5,24.9,77
293,22.8,23.8,56
294,-0.2,6.0,76
295,4.4,35.8,91
296,11.3,0.4,56
297,15.8,29.9,91
298,33.1,10.7,72
299,14.4,2.3,41
300,28.3,35.7,22
301,28.6,39.7,29
302,33.2,45.3,71
303,31.5,26.8,87
304,13.8,34.1,100
305,21.3,44.5,78
306,0.9,11.7,34
307,20.2,21.6,31
308,13.9,11.5,68
309,25.1,37.4,71
310,35.0,41.0,27
311,15.6,18.7,92
312,18.7,40.0,65
313,15.2,39.6,37
314,7.2,21.6,31
315,21.1,4.9,56
316,24.0,33.6,30
317,26.2,2.9,72
318,10.5,13.2,45
319,28.2,36.3,87
320,1.7,24.5,83
321,16.2,11.1,86
322,15.8,30.0,66
323,11.5,49.3,72
324,5.2,19.5,41
325,26.7,22.3,87
326,27.0,18.6,36
327,23.4,5.6,73
328,2.4,28.2,50
329,9.1,36.1,80
330,3.8,0.7,44
331,29.6,25.7,53
332,28.3,19.4,73
333,19.5,7.7,38
334,16.5,17.0,60
335,-0.8,34.9,69
336,10.2,34.7,26
337,-0.5,39.8,26
338,27.1,27.2,35
339,-3.8,37.4,68
340,28.0,28.6,59
341,10.3,42.4,69
342,23.9,31.9,95
343,6.7,16.8,30
344,-4.8,47.8,21
345,10.8,40.1,56
346,1.0,41.9,37
347,21.6,12.4,95
348,30.2,40.7,67
349,31.0,8.3,52
350,6.1,42.8,82
351,34.2,14.2,39
352,17.2,26.0,61
353,-4.0,10.1,56
354,7.6,7.3,89
355,29.4,29.8,30
356,32.6,36.0,88
357,11.7,1.8,33
358,30.8,7.2,76
359,16.6,15.4,96
360,23.6,13.1,44
361,21.3,41.4,95
362,31.8,36.8,72
363,2.4,19.2,93
364,9.9,2.8,89
365,19.0,23.7,62
366,17.3,1.5,99
367,24.4,28.3,53
368,10.7,2.0,91
369,12.3,48.2,29
370,29.9,9.9,34
371,8.1,49.7,49
372,3.1,48.0,99
373,21.4,41.1,35
374,34.0,14.2,26
375,-4.9,1.9,82
376,19.8,25.9,50
377,17.5,44.3,75
378,15.2,2.9,84
379,34.7,39.3,42
380,20.8,29.6,48
381,20.5,24.6,71
382,12.0,6.0,32
383,28.9,25.9,71
384,0.8,35.5,26
385,-0.9,44.5,36
386,17.3,12.5,54
387,20.7,35.2,33
388,-3.5,42.1,62
389,11.0,5.4,88
390,28.3,30.0,96
391,29.9,39.0,47
392,3.4,31.0,55
393,29.7,4.1,99
394,19.3,16.8,86
395,-0.9,35.0,90
396,14.0,17.2,40
397,5.4,10.4,27
398,16.7,29.4,82
399,2.3,39.7,50
400,5.4,0.9,71
401,-1.3,31.3,95
402,27.0,44.1,24
403,-2.1,25.1,50
404,0.9,47.6,88
405,10.5,0.4,82
406,34.7,41.8,61
407,20.8,10.3,68
408,18.1,49.7,78
409,18.6,23.4,43
410,26.1,32.1,27
411,4.3,22.4,23
412,29.5,3.2,30
413,0.6,2.1,30
414,24.1,41.4,49
415,-2.1,45.2,81
416,-2.3,25.7,56
417,7.6,12.2,71
418,3.8,20.1,89
419,11.5,35.1,20
420,25.9,22.7,87
421,7.5,28.6,40
422,10.6,24.8,90
423,-1.2,27.4,86
424,-2.0,43.1,36
425,3.6,1.5,44
426,34.1,34.7,33
427,17.2,33.9,43
428,3.7,29.6,63
429,25.0,22.7,91
430,-0.5,17.3,59
431,3.4,31.1,66
432,28.2,41.7,62
433,29.9,12.6,33
434,27.9,0.7,80
435,0.7,3.2,51
436,29.1,30.4,65
437,18.3,37.4,72
438,21.6,9.2,78
439,-1.4,41.9,80
440,19.2,7.8,65
441,16.3,41.0,63
442,16.0,0.5,59
443,7.4,40.2,25
444,-0.4,7.0,91
445,15.8,11.9,71
446,14.7,15.3,41
447,19.6,7.4,48
448,-2.1,41.6,27
449,21.5,43.0,45
450,10.9,30.7,30
451,34.6,46.5,85
452,18.9,34.6,79
453,0.8,38.9,65
454,30.3,30.1,93
455,4.6,27.7,75
456,30.5,13.3,27
457,22.6,35.6,83
458,26.1,46.2,100
459,7.3,28.7,90
460,4.6,3.6,83
461,30.9,10.8,97
462,22.3,39.6,42
463,27.1,1.9,60
464,11.3,23.2,92
465,9.8,29.6,99
466,11.3,22.0,25
467,0.5,46.4,84
468,8.1,47.7,83
469,5.9,2.5,62
470,32.3,7.9,72
471,2.4,13.2,69
472,1.8,23.9,53
473,1.5,17.4,34
474,29.7,24.5,70
475,26.2,37.8,32
476,9.8,7.7,53
477,33.7,46.2,30
478,21.3,11.9,72
479,4.3,13.1,89
480,6.5,19.1,42
481,26.7,49.9,78
482,22.3,48.3,89
483,8.5,48.7,62
484,27.3,29.6,20
485,-3.8,37.5,100
486,19.1,16.7,92
487,2.6,40.9,36
488,5.7,16.6,20
489,0.9,40.8,36
490,18.3,24.9,66
491,-2.7,44.8,73
492,-1.4,10.9,88
493,31.9,5.9,47
494,32.4,19.6,31
495,24.3,1.5,33
496,28.6,41.6,52
497,1.4,41.9,82
498,19.9,48.1,68
499,30.9,15.1,96
500,33.9,38.7,43
501,26.7,14.6,91
502,32.2,42.2,49
503,0.1,7.1,59
504,19.9,20.4,38
505,19.2,44.3,92
506,23.9,17.6,94
507,9.0,48.5,97
508,4.2,33.5,88
509,30.2,30.6,40
510,20.6,43.4,78
511,13.9,19.8,68
512,14.3,24.4,50
513,17.9,42.7,56
514,23.1,7.7,61
515,32.4,12.6,35
516,15.9,49.3,70
517,14.0,32.2,87
518,10.8,0.3,48
519,23.9,1.2,72
520,-3.1,37.0,97
521,29.4,47.8,84
522,0.8,18.4,23
523,20.3,12.3,54
524,-0.5,34.3,79
525,-0.5,16.4,51
526,9.6,4.9,99
527,20.9,19.4,42
528,24.3,18.3,72
529,-3.5,20.6,98
530,10.5,46.6,37
531,13.9,15.5,61
532,30.6,23.6,69
533,17.7,39.8,65
534,23.5,48.5,45
535,26.2,12.3,35
536,34.0,22.1,50
537,30.5,2.7,32
538,32.4,47.0,90
539,9.3,41.5,86
540,31.6,32.9,46
541,29.9,39.6,98
542,20.9,20.5,91
543,28.6,3.2,36
544,15.0,30.6,23
545,15.0,42.5,37
546,14.0,26.9,34
547,23.1,41.7,67
548,18.0,12.0,42
549,-0.7,4.1,62
550,6.8,15.4,23
551,22.6,39.1,72
552,34.6,8.8,39
553,8.0,25.6,21
554,10.7,13.3,85
555,-4.9,20.0,29
556,4.8,21.4,43
557,19.4,43.0,50
558,7.6,15.9,80
559,26.6,48.0,69
560,29.5,6.7,93
561,-4.9,2.3,58
562,21.1,36.1,37
563,16.0,13.1,80
564,3.0,14.6,48
565,23.1,1.7,63
566,7.4,3.5,20
567,25.1,11.1,77
568,3.4,23.9,78
569,25.0,5.4,60
570,26.2,1.5,39
571,28.3,9.9,67
572,29.0,16.0,45
573,22.6,6.7,30
574,34.5,47.3,49
575,-4.8,11.6,65
576,-0.7,2.3,28
577,26.3,36.4,57
578,26.1,16.7,67
579,9.4,5.3,62
580,16.2,37.7,28
581,12.6,15.2,26
582,2.5,10.5,33
583,27.2,29.2,76
584,3.7,6.6,40
585,3.6,49.9,43
586,-1.9,1.9,91
587,23.7,8.8,40
588,18.7,28.9,82
589,29.7,8.8,80
590,33.0,49.4,48
591,26.5,42.2,20
592,6.9,3.4,26
593,19.8,29.7,82
594,9.8,36.3,37
595,10.0,45.1,60
596,31.7,27.5,60
597,10.1,49.1,36
598,33.4,26.0,74
599,16.0,2.0,75
600,31.9,25.7,96
601,26.4,36.2,29
602,25.9,11.3,34
603,21.9,28.6,24
604,26.1,11.6,53
605,15.4,1.3,78
606,10.1,5.4,54
607,22.5,35.6,64
608,8.9,34.7,80
609,33.3,20.4,52
610,30.1,30.0,21
611,3.2,35.1,38
612,22.9,9.3,30
613,4.6,21.0,89
614,18.3,14.3,41
615,32.2,31.7,88
616,31.7,34.7,45
617,-0.2,24.5,40
618,18.5,15.3,80
619,11.0,42.7,39
620,14.2,11.3,29
621,11.9,16.0,43
622,17.5,14.7,84
623,6.2,22.2,29
624,16.9,0.9,56
625,6.3,24.7,85
626,10.2,28.7,50
627,33.8,17.8,49
628,-2.5,18.8,58
629,13.0,8.7,26
630,6.2,10.9,67
631,33.5,26.7,48
632,22.6,49.0,65
633,21.5,2.0,42
634,12.6,14.9,88
635,31.6,22.2,58
636,21.6,3.6,97
637,2.3,31.8,64
638,0.5,4.5,48
639,0.9,23.7,81
640,29.5,14.7,43
641,23.3,46.9,21
642,14.5,7.8,46
643,-1.4,47.7,53
644,4.8,5.4,40
645,14.5,42.3,80
646,19.7,6.3,30
647,10.5,22.9,80
648,20.3,40.2,42
649,7.5,2.0,56
